                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2353,                 1.1476,                  1.021,                0.88467,                0.24665,                0.29096,                0.18462,                 1.2701,                 1.1349,                 1.0588,               0.005347,               0.005347,               0.005347
                     49,                 1.2345,                 1.1287,                 1.0152,                0.85885,                0.25693,                0.29182,                0.18699,                 1.2835,                 1.1407,                 1.0667,               0.005248,               0.005248,               0.005248
                     50,                 1.2144,                 1.1055,                 1.0113,                0.85143,                0.25961,                0.30048,                0.19181,                 1.2592,                 1.0815,                 1.0572,               0.005149,               0.005149,               0.005149
                     51,                 1.2833,                 1.1627,                  1.037,                0.86804,                0.25673,                0.30617,                0.19627,                 1.2922,                 1.1007,                 1.0591,                0.00505,                0.00505,                0.00505
                     52,                  1.221,                 1.1295,                   1.02,                0.86273,                0.25469,                0.29764,                0.19236,                 1.2589,                 1.1294,                 1.0481,               0.004951,               0.004951,               0.004951
                     53,                 1.2501,                 1.1107,                 1.0252,                0.86373,                0.26139,                 0.2961,                 0.1908,                 1.2562,                 1.1006,                 1.0456,               0.004852,               0.004852,               0.004852
                     54,                 1.2076,                 1.1211,                 1.0213,                0.86294,                0.25469,                0.29694,                0.19291,                 1.2603,                 1.0905,                 1.0451,               0.004753,               0.004753,               0.004753
                     55,                 1.2263,                 1.1244,                 1.0229,                 0.8614,                0.25559,                0.29469,                0.19185,                 1.2488,                 1.1358,                 1.0613,               0.004654,               0.004654,               0.004654
                     56,                 1.2073,                 1.0759,                 1.0131,                 0.8608,                 0.2681,                0.30996,                0.19795,                 1.2329,                 1.0516,                 1.0453,               0.004555,               0.004555,               0.004555
                     57,                 1.2423,                 1.1234,                 1.0252,                0.84536,                0.27033,                0.30577,                0.19894,                 1.2469,                 1.0749,                 1.0461,               0.004456,               0.004456,               0.004456
                     58,                 1.2212,                 1.1118,                 1.0138,                0.86754,                0.26408,                0.30321,                0.20163,                 1.2211,                  1.103,                 1.0457,               0.004357,               0.004357,               0.004357
                     59,                 1.1904,                 1.0868,                 1.0076,                0.90389,                0.24441,                0.30781,                0.19966,                 1.2362,                 1.0767,                 1.0484,               0.004258,               0.004258,               0.004258
                     60,                 1.1928,                 1.0725,                 1.0067,                0.86179,                0.26586,                0.30543,                0.20129,                 1.2039,                 1.0614,                 1.0453,               0.004159,               0.004159,               0.004159
                     61,                 1.1961,                 1.0984,                 1.0076,                0.85291,                0.27017,                 0.3089,                0.20147,                 1.2362,                 1.0917,                  1.049,                0.00406,                0.00406,                0.00406
                     62,                 1.1351,                 1.0922,                0.99268,                0.86375,                0.26944,                0.31793,                0.20591,                 1.1788,                 1.0461,                 1.0261,               0.003961,               0.003961,               0.003961
                     63,                  1.181,                 1.0805,                 1.0092,                0.84048,                0.27181,                0.30353,                0.19656,                 1.2243,                 1.0778,                 1.0567,               0.003862,               0.003862,               0.003862
                     64,                 1.1878,                 1.0995,                 1.0003,                0.85091,                 0.2748,                0.31929,                0.21055,                 1.2076,                 1.0599,                 1.0369,               0.003763,               0.003763,               0.003763
                     65,                 1.1637,                 1.0344,                 1.0084,                 0.8455,                0.27877,                0.30908,                0.20428,                 1.1854,                 1.0308,                 1.0364,               0.003664,               0.003664,               0.003664
                     66,                 1.2082,                 1.0985,                 1.0158,                0.84884,                0.27525,                0.30979,                0.20281,                 1.1907,                 1.0333,                  1.033,               0.003565,               0.003565,               0.003565
                     67,                 1.1607,                 1.0224,                0.99713,                 0.8667,                0.27042,                   0.31,                0.20349,                 1.1944,                 1.0416,                 1.0326,               0.003466,               0.003466,               0.003466
                     68,                 1.1616,                 1.0579,                 1.0055,                0.85982,                0.27033,                0.31271,                0.20454,                 1.1982,                 1.0314,                 1.0335,               0.003367,               0.003367,               0.003367
                     69,                   1.14,                 1.0113,                0.99378,                0.84912,                0.27569,                0.30365,                0.19904,                 1.1797,                 1.0527,                 1.0304,               0.003268,               0.003268,               0.003268
                     70,                 1.1279,                 1.0266,                0.98834,                0.85312,                0.27346,                0.30808,                0.20436,                 1.1776,                   1.02,                 1.0293,               0.003169,               0.003169,               0.003169
